Title,,Link,Season,Episode,,Description,Site,,Recced by
Locked in a Room,craterdweller,https://archiveofourown.org/works/14078604,"[""Season 8""]","[""s08e07 Affinity""]","[""Fix-It""]",,AO3,"[""AO3""]",starrybouquet
Monopolizing Carter,The-Kerl,https://www.fanfiction.net/s/8998785/1/Monopolizing-Carter,"[""Season 4""]","[""s04e10 Beneath the Surface""]",,,FF.net,"[""FF.net""]",starrybouquet
My Wonderland,iamdkskully,https://www.fanfiction.net/s/9157048/1/My-Wonderland,"[""Season 8""]","[""s08e07 Affinity""]","[""Fix-It""]",,FF.net,"[""FF.net""]",starrybouquet
Never Say Die,Spiletta42,https://archiveofourown.org/works/198309,"[""Season 8""]",,,,AO3,"[""AO3""]",starrybouquet
Next to her heart,RhinoHill,https://archiveofourown.org/works/18736057,"[""Season 4""]","[""s04e05 Divide and Conquer""]","[""Canon-Compliant""]",,AO3,"[""AO3""]",starrybouquet
one more round,professortennant,https://archiveofourown.org/works/14955101,"[""Season 1""]",,,,AO3,"[""AO3""]",starrybouquet
our hearts are holding hands,professortennant,https://archiveofourown.org/works/16463123,,,"[""Aliens Made Them Do It""]",,AO3,"[""AO3""]",starrybouquet
Overrated,Chibiness87,https://archiveofourown.org/works/18588790,"[""Season 9""]",,,,AO3,"[""AO3""]",starrybouquet
Patience,icepixie,https://archiveofourown.org/works/19638,"[""Season 4""]",,"[""Cabin Fic""]",,AO3,"[""AO3""]",starrybouquet
Promise,Bil,https://archiveofourown.org/works/23565454,"[""Season 4""]",,,,AO3,"[""AO3""]",starrybouquet
Proper Care and Feeding of Your Astrophysicist,CoraClavia,https://archiveofourown.org/works/17315486,"[""Season 4""]",,,,AO3,"[""AO3""]",starrybouquet
Rain,Rebecca Steven Taylor,https://www.fanfiction.net/s/2023115/1/Rain,"[""Season 8""]","[""s08e07 Affinity""]","[""Fix-It""]",,FF.net,"[""FF.net""]",starrybouquet
Rites of passage,Aenigmatic,https://archiveofourown.org/works/1004942,,,"[""Accidentally Married""]",,AO3,"[""AO3""]",starrybouquet
Roommates,mrv3000,https://archiveofourown.org/works/204236,"[""Season 6""]",,,,AO3,"[""AO3""]",starrybouquet
Safe Bet,LadyRaider,https://fanfiction.net/s/2296258/1/,"[""Season 7""]",,,,FF.net,"[""FF.net""]",starrybouquet
Sandburg's Cat,noenigma,https://www.fanfiction.net/s/12893863/1/Sandburg-s-Cat,"[""Season 7""]",,,,FF.net,"[""FF.net""]",starrybouquet
School's Out,shadowsamurai,https://archiveofourown.org/works/436758,"[""Season 3""]",,,,AO3,"[""AO3""]",starrybouquet
Serendipity,Annerb,https://archiveofourown.org/works/189162,"[""Season 10""]",,"[""Comedy"", ""Established Relationship""]",,AO3,"[""AO3""]",starrybouquet
She Spoke First,nadie2,https://www.fanfiction.net/s/12213870/1/She-Spoke-First,"[""Season 4""]","[""s04e05 Divide and Conquer""]","[""Fix-It""]",,FF.net,"[""FF.net""]",starrybouquet
Silver and Gold,PodBayDoors,https://www.fanfiction.net/s/4001922/1/Silver-and-Gold,"[""Season 8""]","[""s08e07 Affinity""]","[""Fix-It""]",,FF.net,"[""FF.net""]",starrybouquet
"Sir, We Have a Situation",midknightrider,https://www.fanfiction.net/s/9762135/1/Sir-We-Have-a-Situation,,,"[""Comedy""]",,FF.net,"[""FF.net""]",starrybouquet
Skirting the Abyss,NewDrWhoFan,https://www.fanfiction.net/s/12949729/1/Skirting-the-Abyss,"[""Season 6""]","[""s06e04 Frozen""]",,,FF.net,"[""FF.net""]",starrybouquet
Small Steps and Giant Leaps,polrobin,https://archiveofourown.org/works/221863,"[""Season 4""]",,,,AO3,"[""AO3""]",starrybouquet
Small Victories,wackyjacqs,https://archiveofourown.org/works/18931405,"[""Season 3""]","[""s03e22 Nemesis, s04e01 Small Victories""]",,,AO3,"[""AO3""]",starrybouquet
