Title,Author,Link,Season / Episode,Category,Description,Site,Recced by
Next to her heart,https://www.notion.so/RhinoHill-89e926fcc848413bb245ef5a7079eea0,https://archiveofourown.org/works/18736057,"Season 4, s04e05 Divide and Conquer",Canon-Compliant,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
one more round,https://www.notion.so/professortennant-f93d92928bd9416081d5291d70dfc7d7,https://archiveofourown.org/works/14955101,Season 1,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
our hearts are holding hands,https://www.notion.so/professortennant-f93d92928bd9416081d5291d70dfc7d7,https://archiveofourown.org/works/16463123,,Aliens Made Them Do It,,AO3,
Overrated,https://www.notion.so/Chibiness87-b096124683704cbe8847059ade42ce7b,https://archiveofourown.org/works/18588790,Season 9,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Patience,https://www.notion.so/icepixie-82f51055e1264f29a456d4aefb807751,https://archiveofourown.org/works/19638,Season 4,Cabin Fic,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Promise,https://www.notion.so/Bil-58d3d96ee0934121bdb6bbc955918eb1,https://archiveofourown.org/works/23565454,Season 4,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Proper Care and Feeding of Your Astrophysicist,https://www.notion.so/CoraClavia-f138289ef8d84a8b97aac4b1cceb83ef,https://archiveofourown.org/works/17315486,Season 4,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Rain,https://www.notion.so/Rebecca-Steven-Taylor-5e7e4b0115e04fc8a3548ecb1318a308,https://www.fanfiction.net/s/2023115/1/Rain,"Season 8, s08e07 Affinity",Fix-It,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Rites of passage,https://www.notion.so/Aenigmatic-6c640d5d06124a99bfccd0e58ab88b90,https://archiveofourown.org/works/1004942,,Accidentally Married,,AO3,
Roommates,https://www.notion.so/mrv3000-0e8ee4ffe6e9490b900648a545ee71b8,https://archiveofourown.org/works/204236,Season 6,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Safe Bet,https://www.notion.so/LadyRaider-2ad6920476c04869a14ebf5270d24c49,https://fanfiction.net/s/2296258/1/,Season 7,,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Sandburg's Cat,https://www.notion.so/noenigma-84013454072d4f05a37f8de89c4643f1,https://www.fanfiction.net/s/12893863/1/Sandburg-s-Cat,Season 7,,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
School's Out,https://www.notion.so/shadowsamurai-bdc3637a64ff432eb091d05732887972,https://archiveofourown.org/works/436758,Season 3,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Serendipity,https://www.notion.so/Annerb-7521727d1bdf49af8a46c852a97bd946,https://archiveofourown.org/works/189162,Season 10,"Comedy, Established Relationship",,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
She Spoke First,https://www.notion.so/nadie2-3b4ca4c5cd2c4bf293e1704fdeb82dc6,https://www.fanfiction.net/s/12213870/1/She-Spoke-First,"Season 4, s04e05 Divide and Conquer",Fix-It,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Silver and Gold,https://www.notion.so/PodBayDoors-1c1f5f8b8d38469f8138461f80d78f9f,https://www.fanfiction.net/s/4001922/1/Silver-and-Gold,"Season 8, s08e07 Affinity",Fix-It,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
"Sir, We Have a Situation",https://www.notion.so/midknightrider-d5c29dc80d164bf68bdb8d30aef33674,https://www.fanfiction.net/s/9762135/1/Sir-We-Have-a-Situation,,Comedy,,FF.net,
Skirting the Abyss,https://www.notion.so/NewDrWhoFan-29fd0efc363d467a9f966425c1dd9a35,https://www.fanfiction.net/s/12949729/1/Skirting-the-Abyss,"Season 6, s06e04 Frozen",,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Small Steps and Giant Leaps,https://www.notion.so/polrobin-d57dce1ce6a0441e9cf9abb3095d8cae,https://archiveofourown.org/works/221863,Season 4,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Small Victories,https://www.notion.so/wackyjacqs-e707b45222c84a1aaf7e6d05e74324fa,https://archiveofourown.org/works/18931405,"Season 3, s03e22 Nemesis, s04e01 Small Victories",,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Smaller Victories,https://www.notion.so/bluemoonmaverick-4524a46dd19248fb9b1d7fe3f81988b1,https://archiveofourown.org/works/1150116,"Season 3, Season 4, s03e22 Nemesis, s04e01 Small Victories",,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Soldier On,https://www.notion.so/fems-bcd759af054f41b38cc37be88dd6daef,https://archiveofourown.org/works/1092593,Season 8,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
